iter	Passed	Remaining
0	19	19339
1	36	18187
2	58	19580
3	75	18814
4	86	17249
5	96	15992
6	106	15125
7	116	14392
8	127	14007
9	136	13529
10	146	13137
11	155	12819
12	165	12576
13	174	12321
14	189	12420
15	200	12329
16	214	12427
17	229	12502
18	239	12359
19	251	12318
20	262	12255
21	277	12333
22	291	12391
23	303	12322
24	314	12264
25	324	12152
26	333	12021
27	343	11927
28	353	11832
29	362	11729
30	372	11631
31	381	11546
32	391	11463
33	400	11380
34	410	11308
35	419	11230
36	429	11177
37	439	11115
38	448	11050
39	457	10989
40	467	10940
41	477	10892
42	486	10836
43	496	10782
44	506	10743
45	515	10697
46	525	10653
47	534	10601
48	544	10564
49	554	10527
50	563	10479
51	572	10443
52	582	10407
53	592	10376
54	602	10347
55	611	10312
56	621	10278
57	630	10241
58	640	10215
59	649	10179
60	659	10154
61	668	10121
62	678	10096
63	688	10069
64	702	10107
65	712	10086
66	722	10060
67	732	10033
68	742	10014
69	751	9988
70	761	9968
71	771	9950
72	781	9924
73	791	9906
74	801	9882
75	810	9859
76	820	9836
77	829	9804
78	839	9782
79	848	9756
80	858	9735
81	867	9712
82	877	9695
83	887	9677
84	896	9651
85	906	9634
86	915	9612
87	925	9591
88	935	9572
89	944	9548
90	954	9530
91	964	9515
92	974	9502
93	983	9480
94	992	9459
95	1003	9448
96	1012	9422
97	1021	9404
98	1031	9383
99	1040	9366
100	1050	9351
101	1060	9332
102	1070	9319
103	1079	9303
104	1089	9290
105	1099	9274
106	1109	9257
107	1118	9238
108	1128	9221
109	1137	9205
110	1147	9187
111	1156	9172
112	1166	9155
113	1176	9143
114	1186	9131
115	1195	9110
116	1205	9099
117	1215	9082
118	1225	9072
119	1235	9062
120	1244	9042
121	1256	9042
122	1270	9056
123	1285	9079
124	1296	9078
125	1307	9067
126	1316	9052
127	1326	9035
128	1336	9024
129	1345	9006
130	1355	8995
131	1365	8980
132	1374	8962
133	1384	8947
134	1394	8932
135	1404	8921
136	1413	8905
